venu-cast API forecast diagnostics

Tier distribution: Counter({'maturing': 34, 'ramping': 13, 'mature_core': 12, 'mature_noncore': 6, 'new': 3})

Growth multipliers (annual, compounding monthly):
  mature_core: +5%
  mature_noncore: +3%
  maturing: +12%
  ramping: +28%
  new: +45%
  fallback: +5%

Fits:
                                     venue    stream          method        rmse      cv  n_days
0                         Yo-Chi Albert St  servings         Prophet   2136.8022  0.1646    1311
1                         Yo-Chi Balaclava  servings         Prophet   2456.6793  0.4993    1311
2                        Yo-Chi Barangaroo  servings         Prophet   4872.2098  0.2723    1311
3                             Yo-Chi Bondi  servings         Prophet   3188.9922  0.2772    1311
4                    Yo-Chi Bondi Junction  servings  Prophet (340d)   1456.8948  0.2504    1311
5                          Yo-Chi Brighton  servings         Prophet   1583.4877  0.2253    1311
6                        Yo-Chi Broadbeach  servings         Prophet   2481.3703  0.2302    1311
7                           Yo-Chi Bulimba  servings         Prophet   1758.3933  0.2216    1311
8                          Yo-Chi Burleigh  servings         Prophet   2436.2067  0.2640    1311
9                           Yo-Chi Burwood  servings  Prophet (191d)   1915.4593  0.1554    1311
10                          Yo-Chi Carlton  servings         Prophet  33226.3354  2.3370    1311
11                    Yo-Chi Castle Towers  servings  Prophet (184d)   3599.0933  0.3064    1311
12                        Yo-Chi Chadstone  servings         Prophet   1849.7661  0.2596    1311
13                        Yo-Chi Chatswood  servings  Prophet (228d)   2196.8622  0.2195    1311
14         Yo-Chi Chevron Surfers Paradise  servings         Prophet   1578.4693  0.2691    1311
15                      Yo-Chi Chippendale  servings  Prophet (142d)   2816.6425  0.3312    1311
16                    Yo-Chi Circular Quay  servings         Prophet   1998.4389  0.1765    1311
17                        Yo-Chi Claremont  servings  Prophet (360d)   1770.8598  0.2359    1311
18                 Yo-Chi Cockburn Central  servings  Prophet (315d)   2726.8292  0.2054    1311
19                           Yo-Chi Coogee  servings         Prophet   2575.4456  0.2205    1311
20                         Yo-Chi Cronulla  servings  Prophet (290d)   3055.1480  0.2676    1311
21                       Yo-Chi Currambine  servings         Prophet   2387.7258  0.2038    1311
22                       Yo-Chi Double Bay  servings         Prophet   1343.6923  0.2206    1311
23                         Yo-Chi Eastland  servings  Prophet (267d)   2909.0858  0.2586    1311
24                    Yo-Chi Forrest Chase  servings         Prophet   3395.8570  0.2356    1311
25                        Yo-Chi Fremantle  servings         Prophet   2131.2401  0.1916    1311
